bv,mag,spec,o,b,a,f,g,k,m
0.503,2.11,F,0,0,0,1,0,0,0
1.552,-11.19,K,0,0,0,0,0,1,0
0.544,4.231,F,0,0,0,1,0,0,0
1.086,1.287,K,0,0,0,0,0,1,0
0.955,1.1,F,0,0,0,1,0,0,0
0.615,4.33,G,0,0,0,0,1,0,0
1.87,-11.06,K,0,0,0,0,0,1,0
0.103,-1.312,B,0,1,0,0,0,0,0
0.241,2.25,A,0,0,1,0,0,0,0
0.643,3.405,G,0,0,0,0,1,0,0
1.561,0.139,K,0,0,0,0,0,1,0
0.424,3.124,F,0,0,0,1,0,0,0
0.166,0.124,A,0,0,1,0,0,0,0
0.589,4.478,G,0,0,0,0,1,0,0
1.052,0.975,K,0,0,0,0,0,1,0
0.216,2.452,A,0,0,1,0,0,0,0
1.553,-0.459,K,0,0,0,0,0,1,0
0.458,3.348,F,0,0,0,1,0,0,0
0.506,3.498,F,0,0,0,1,0,0,0
0.748,4.434,G,0,0,0,0,1,0,0
0.347,2.328,A,0,0,1,0,0,0,0
1.237,1.465,K,0,0,0,0,0,1,0
0.141,2.016,A,0,0,1,0,0,0,0
0.448,4.323,F,0,0,0,1,0,0,0
1.47,9.718,M,0,0,0,0,0,0,1
1.097,1.043,K,0,0,0,0,0,1,0
1.16,0.992,K,0,0,0,0,0,1,0
0.994,0.635,G,0,0,0,0,1,0,0
0.583,4.296,G,0,0,0,0,1,0,0
0.618,1.208,A,0,0,1,0,0,0,0
0.56,2.53,G,0,0,0,0,1,0,0
0.506,4.44,F,0,0,0,1,0,0,0
0.441,2.674,F,0,0,0,1,0,0,0
1.42,8.749,M,0,0,0,0,0,0,1
0.362,1.875,F,0,0,0,1,0,0,0
0,0.752,A,0,0,1,0,0,0,0
0.963,-0.018,G,0,0,0,0,1,0,0
0.65,6.803,K,0,0,0,0,0,1,0
0.864,1.152,G,0,0,0,0,1,0,0
0.927,6.377,K,0,0,0,0,0,1,0
0.606,4.199,F,0,0,0,1,0,0,0
0.347,1.475,F,0,0,0,1,0,0,0
0.147,0.629,B,0,1,0,0,0,0,0
1.641,-0.598,K,0,0,0,0,0,1,0
0.21,-9.82,B,0,1,0,0,0,0,0
0.57,2.504,F,0,0,0,1,0,0,0
0.422,1.674,A,0,0,1,0,0,0,0
0.355,2.968,A,0,0,1,0,0,0,0
1.282,-0.175,K,0,0,0,0,0,1,0
0.14,2.175,A,0,0,1,0,0,0,0
0.546,2.511,A,0,0,1,0,0,0,0
0.401,5.111,F,0,0,0,1,0,0,0
1.249,1.038,K,0,0,0,0,0,1,0
1.85,-0.818,K,0,0,0,0,0,1,0
0.384,2.978,F,0,0,0,1,0,0,0
1.059,1.518,K,0,0,0,0,0,1,0
1.552,-1.414,K,0,0,0,0,0,1,0
1.438,-11.66,K,0,0,0,0,0,1,0
0.87,5.966,K,0,0,0,0,0,1,0
1.133,1.465,K,0,0,0,0,0,1,0
0.405,3.387,F,0,0,0,1,0,0,0
1.519,-1.653,M,0,0,0,0,0,0,1
0.395,3.388,F,0,0,0,1,0,0,0
1,0.246,K,0,0,0,0,0,1,0
0.872,2.174,G,0,0,0,0,1,0,0
0.525,2.549,F,0,0,0,1,0,0,0
1.733,-2.198,M,0,0,0,0,0,0,1
0.022,-3.841,B,0,1,0,0,0,0,0
1.691,-1.043,K,0,0,0,0,0,1,0
0.167,0.912,B,0,1,0,0,0,0,0
0.62,5.738,F,0,0,0,1,0,0,0
0.51,3.601,F,0,0,0,1,0,0,0
0.028,1.638,A,0,0,1,0,0,0,0
1.047,0.831,K,0,0,0,0,0,1,0
0.372,1.492,A,0,0,1,0,0,0,0
0.122,0.757,A,0,0,1,0,0,0,0
-0.088,-1.274,B,0,1,0,0,0,0,0
1.38,8.613,M,0,0,0,0,0,0,1
1.152,0.892,K,0,0,0,0,0,1,0
0.062,0.815,A,0,0,1,0,0,0,0
0.02,1.447,B,0,1,0,0,0,0,0
1.147,3.077,K,0,0,0,0,0,1,0
1.035,1.88,K,0,0,0,0,0,1,0
0.691,2.601,B,0,1,0,0,0,0,0
0.396,2.412,F,0,0,0,1,0,0,0
0.16,0.763,A,0,0,1,0,0,0,0
0.88,7.755,A,0,0,1,0,0,0,0
0.519,2.544,F,0,0,0,1,0,0,0
0.37,2.971,F,0,0,0,1,0,0,0
1.677,0.307,K,0,0,0,0,0,1,0
0.66,5.007,G,0,0,0,0,1,0,0
1.705,-0.109,K,0,0,0,0,0,1,0
0.031,1.916,A,0,0,1,0,0,0,0
0.291,0.338,A,0,0,1,0,0,0,0
0.102,1.444,A,0,0,1,0,0,0,0
0.44,2.677,F,0,0,0,1,0,0,0
0.598,4.388,G,0,0,0,0,1,0,0
0.625,-9.78,F,0,0,0,1,0,0,0
0.634,2.639,F,0,0,0,1,0,0,0
0.394,3.575,F,0,0,0,1,0,0,0
0.642,2.805,G,0,0,0,0,1,0,0
0.587,4.272,G,0,0,0,0,1,0,0
1.011,1.858,G,0,0,0,0,1,0,0
1.337,-0.928,K,0,0,0,0,0,1,0
0.633,3.736,G,0,0,0,0,1,0,0
0.519,2.666,F,0,0,0,1,0,0,0
0.487,3.752,F,0,0,0,1,0,0,0
-0.034,0.135,B,0,1,0,0,0,0,0
0.731,0.511,F,0,0,0,1,0,0,0
0.864,5.655,K,0,0,0,0,0,1,0
0.674,4.393,G,0,0,0,0,1,0,0
1.011,0.792,G,0,0,0,0,1,0,0
1.489,0.097,K,0,0,0,0,0,1,0
1.32,0.536,K,0,0,0,0,0,1,0
1.179,7.363,K,0,0,0,0,0,1,0
0.403,3.583,F,0,0,0,1,0,0,0
0.145,1.175,A,0,0,1,0,0,0,0
-0.105,-1.748,B,0,1,0,0,0,0,0
1.039,1.119,K,0,0,0,0,0,1,0
0.965,1.919,K,0,0,0,0,0,1,0
0.464,3.453,F,0,0,0,1,0,0,0
0.574,2.418,F,0,0,0,1,0,0,0
0.985,-10.11,K,0,0,0,0,0,1,0
0.565,4.533,F,0,0,0,1,0,0,0
1.411,0.148,K,0,0,0,0,0,1,0
1.219,0.757,K,0,0,0,0,0,1,0
0.534,3.016,F,0,0,0,1,0,0,0
1.294,1.087,K,0,0,0,0,0,1,0
1.182,-1.171,K,0,0,0,0,0,1,0
0.489,4.631,F,0,0,0,1,0,0,0
0.4,3.727,G,0,0,0,0,1,0,0
0.222,1.558,A,0,0,1,0,0,0,0
0.595,3.976,G,0,0,0,0,1,0,0
0.6,2.386,G,0,0,0,0,1,0,0
0.71,3.69,G,0,0,0,0,1,0,0
0.865,-10.92,G,0,0,0,0,1,0,0
0.487,2.136,F,0,0,0,1,0,0,0
0.202,1.761,A,0,0,1,0,0,0,0
1.209,-0.533,K,0,0,0,0,0,1,0
1.011,0.903,G,0,0,0,0,1,0,0
1.004,-0.368,G,0,0,0,0,1,0,0
1.052,1.166,K,0,0,0,0,0,1,0
1.461,-1.491,K,0,0,0,0,0,1,0
-0.064,0.167,B,0,1,0,0,0,0,0
0.979,1.501,K,0,0,0,0,0,1,0
0.425,-2.391,F,0,0,0,1,0,0,0
0.428,-11.12,F,0,0,0,1,0,0,0
-0.11,-1.193,B,0,1,0,0,0,0,0
0.948,1.017,G,0,0,0,0,1,0,0
0.163,1.479,A,0,0,1,0,0,0,0
0.961,0.645,K,0,0,0,0,0,1,0
0.67,3.842,A,0,0,1,0,0,0,0
0.927,-10.14,M,0,0,0,0,0,0,1
1.255,-0.636,K,0,0,0,0,0,1,0
0.205,1.587,A,0,0,1,0,0,0,0
0.581,3.409,G,0,0,0,0,1,0,0
0.152,0.922,A,0,0,1,0,0,0,0
1.018,-11.54,G,0,0,0,0,1,0,0
-0.123,0.479,B,0,1,0,0,0,0,0
1.012,6.541,K,0,0,0,0,0,1,0
1.003,-10.07,K,0,0,0,0,0,1,0
0.009,1.488,B,0,1,0,0,0,0,0
0.128,2.137,A,0,0,1,0,0,0,0
-0.011,0.604,B,0,1,0,0,0,0,0
-0.022,1.146,A,0,0,1,0,0,0,0
1.136,0.587,K,0,0,0,0,0,1,0
0.518,3.865,F,0,0,0,1,0,0,0
0.179,2.965,A,0,0,1,0,0,0,0
0.283,1.504,F,0,0,0,1,0,0,0
0.403,2.099,F,0,0,0,1,0,0,0
1.491,-0.922,K,0,0,0,0,0,1,0
1.603,0.059,K,0,0,0,0,0,1,0
0.736,3.027,F,0,0,0,1,0,0,0
1.195,0.784,K,0,0,0,0,0,1,0
0.48,3.088,F,0,0,0,1,0,0,0
1.047,3.221,K,0,0,0,0,0,1,0
0.415,3.04,F,0,0,0,1,0,0,0
-0.099,-0.73,B,0,1,0,0,0,0,0
0.578,3.88,F,0,0,0,1,0,0,0
1.389,1.145,K,0,0,0,0,0,1,0
0.446,2.287,F,0,0,0,1,0,0,0
0.432,3.099,F,0,0,0,1,0,0,0
0.451,4.068,F,0,0,0,1,0,0,0
0.424,1.775,F,0,0,0,1,0,0,0
0.476,4.166,F,0,0,0,1,0,0,0
0.55,2.876,A,0,0,1,0,0,0,0
0.06,1.43,A,0,0,1,0,0,0,0
0.506,3.139,F,0,0,0,1,0,0,0
-0.063,-1.48,B,0,1,0,0,0,0,0
0.21,2.208,A,0,0,1,0,0,0,0
1.043,1.187,G,0,0,0,0,1,0,0
0.065,1.556,A,0,0,1,0,0,0,0
1.606,-0.157,K,0,0,0,0,0,1,0
-0.036,0.475,B,0,1,0,0,0,0,0
0.661,3.072,F,0,0,0,1,0,0,0
0.602,3.879,G,0,0,0,0,1,0,0
0.903,2.089,G,0,0,0,0,1,0,0
0.213,2.555,A,0,0,1,0,0,0,0
-0.08,-1.143,B,0,1,0,0,0,0,0
0.347,2.071,F,0,0,0,1,0,0,0
0.28,3.029,B,0,1,0,0,0,0,0
0.747,-2.634,A,0,0,1,0,0,0,0
-0.02,1.097,A,0,0,1,0,0,0,0
0.676,4.779,F,0,0,0,1,0,0,0
2.253,0.365,M,0,0,0,0,0,0,1
1.059,1.437,G,0,0,0,0,1,0,0
1.346,3.061,K,0,0,0,0,0,1,0
1.604,-1.414,M,0,0,0,0,0,0,1
1.323,0.687,K,0,0,0,0,0,1,0
0.992,0.851,G,0,0,0,0,1,0,0
1.403,1.558,K,0,0,0,0,0,1,0
0.69,4.55,G,0,0,0,0,1,0,0
0.873,2.827,G,0,0,0,0,1,0,0
1.589,0.409,M,0,0,0,0,0,0,1
0.589,3.488,G,0,0,0,0,1,0,0
1.142,1.123,K,0,0,0,0,0,1,0
0.965,0.66,G,0,0,0,0,1,0,0
0.605,4.07,G,0,0,0,0,1,0,0
0.367,0.974,F,0,0,0,1,0,0,0
0.68,4.958,F,0,0,0,1,0,0,0
0.4,2.763,F,0,0,0,1,0,0,0
-0.051,-1.193,B,0,1,0,0,0,0,0
1.437,8.766,K,0,0,0,0,0,1,0
0.359,2.648,F,0,0,0,1,0,0,0
0.441,2.605,F,0,0,0,1,0,0,0
0.35,-11.63,F,0,0,0,1,0,0,0
-0.02,1.954,B,0,1,0,0,0,0,0
0.657,2.284,F,0,0,0,1,0,0,0
0.982,-9.93,G,0,0,0,0,1,0,0
0.213,2.05,B,0,1,0,0,0,0,0
0.069,0.701,A,0,0,1,0,0,0,0
0.11,0.888,A,0,0,1,0,0,0,0
1.162,1.191,K,0,0,0,0,0,1,0
0.167,0.568,B,0,1,0,0,0,0,0
0.33,3.46,A,0,0,1,0,0,0,0
0.02,0.87,A,0,0,1,0,0,0,0
-0.042,-1.256,B,0,1,0,0,0,0,0
0.355,1.947,A,0,0,1,0,0,0,0
0.6,2.556,F,0,0,0,1,0,0,0
1.263,0.328,K,0,0,0,0,0,1,0
0.394,3.173,F,0,0,0,1,0,0,0
0.52,2.361,A,0,0,1,0,0,0,0
1.133,0.163,K,0,0,0,0,0,1,0
0.036,0.171,B,0,1,0,0,0,0,0
0.56,3.281,F,0,0,0,1,0,0,0
1,2.21,K,0,0,0,0,0,1,0
1,-1.973,F,0,0,0,1,0,0,0
1.056,1.346,K,0,0,0,0,0,1,0
0.37,2.525,F,0,0,0,1,0,0,0
0.534,4.277,F,0,0,0,1,0,0,0
1.433,-0.056,K,0,0,0,0,0,1,0
1.033,-0.408,K,0,0,0,0,0,1,0
0.833,2.062,G,0,0,0,0,1,0,0
0.584,2.719,F,0,0,0,1,0,0,0
1.171,-1.684,K,0,0,0,0,0,1,0
1.072,2.517,G,0,0,0,0,1,0,0
0.186,1.277,A,0,0,1,0,0,0,0
1.034,-11.15,G,0,0,0,0,1,0,0
1.277,0.741,K,0,0,0,0,0,1,0
0.562,2.522,G,0,0,0,0,1,0,0
0.434,2.989,F,0,0,0,1,0,0,0
0.516,3.08,F,0,0,0,1,0,0,0
1.156,1.076,K,0,0,0,0,0,1,0
0.412,2.461,F,0,0,0,1,0,0,0
0.606,4.376,F,0,0,0,1,0,0,0
0.815,6.124,K,0,0,0,0,0,1,0
0.485,3.215,F,0,0,0,1,0,0,0
0.228,2.39,A,0,0,1,0,0,0,0
1.453,0.284,K,0,0,0,0,0,1,0
1.331,0.076,K,0,0,0,0,0,1,0
1.335,0.003,G,0,0,0,0,1,0,0
0.242,2.684,A,0,0,1,0,0,0,0
0.679,3.823,G,0,0,0,0,1,0,0
0.021,1.251,B,0,1,0,0,0,0,0
1.312,-1.665,K,0,0,0,0,0,1,0
1.598,-0.07,M,0,0,0,0,0,0,1
0.796,5.967,K,0,0,0,0,0,1,0
0.591,6.214,F,0,0,0,1,0,0,0
0.594,4.087,G,0,0,0,0,1,0,0
1.204,1.487,G,0,0,0,0,1,0,0
0.612,4.935,G,0,0,0,0,1,0,0
0.811,1.519,G,0,0,0,0,1,0,0
0.48,3.523,G,0,0,0,0,1,0,0
0.59,4.617,G,0,0,0,0,1,0,0
0.373,3.109,F,0,0,0,1,0,0,0
0.648,3.7,G,0,0,0,0,1,0,0
0.457,3.217,F,0,0,0,1,0,0,0
0.377,1.76,A,0,0,1,0,0,0,0
1.59,-0.825,M,0,0,0,0,0,0,1
0.557,1.965,F,0,0,0,1,0,0,0
0.007,1.194,B,0,1,0,0,0,0,0
0.599,3.051,G,0,0,0,0,1,0,0
0.608,5.341,G,0,0,0,0,1,0,0
0.542,2.934,F,0,0,0,1,0,0,0
0.32,2.993,F,0,0,0,1,0,0,0
0.05,-0.361,B,0,1,0,0,0,0,0
-0.039,1.668,B,0,1,0,0,0,0,0
1.325,-0.009,K,0,0,0,0,0,1,0
0.509,3.636,F,0,0,0,1,0,0,0
0.705,4.501,G,0,0,0,0,1,0,0
-0.102,-10.07,B,0,1,0,0,0,0,0
0.03,1.737,A,0,0,1,0,0,0,0
1.103,1.554,K,0,0,0,0,0,1,0
0.255,2.848,A,0,0,1,0,0,0,0
0.587,3.335,F,0,0,0,1,0,0,0
1.229,1.622,G,0,0,0,0,1,0,0
0.184,0.917,B,0,1,0,0,0,0,0
1.263,0.244,K,0,0,0,0,0,1,0
0.3,-10.25,B,0,1,0,0,0,0,0
0.644,5.197,F,0,0,0,1,0,0,0
0.946,0.731,G,0,0,0,0,1,0,0
-0.086,-2.61,B,0,1,0,0,0,0,0
0.066,1.7,A,0,0,1,0,0,0,0
1.094,0.805,K,0,0,0,0,0,1,0
1.043,6.652,K,0,0,0,0,0,1,0
-0.02,0.878,B,0,1,0,0,0,0,0
1.2,-0.11,K,0,0,0,0,0,1,0
1.225,1.054,K,0,0,0,0,0,1,0
1.131,0.634,K,0,0,0,0,0,1,0
1.187,-10.89,K,0,0,0,0,0,1,0
1.45,-12.28,K,0,0,0,0,0,1,0
0.483,3.366,F,0,0,0,1,0,0,0
0.376,2.304,F,0,0,0,1,0,0,0
0.683,2.74,G,0,0,0,0,1,0,0
0.075,0.81,A,0,0,1,0,0,0,0
0.167,1.707,A,0,0,1,0,0,0,0
0.237,1.923,A,0,0,1,0,0,0,0
0.477,2.576,A,0,0,1,0,0,0,0
0.681,5.412,G,0,0,0,0,1,0,0
0.576,2.901,F,0,0,0,1,0,0,0
1.21,0.878,K,0,0,0,0,0,1,0
1.22,0.932,K,0,0,0,0,0,1,0
1.194,1.856,K,0,0,0,0,0,1,0
0.504,2.892,F,0,0,0,1,0,0,0
0.365,1.172,A,0,0,1,0,0,0,0
0.262,3.249,A,0,0,1,0,0,0,0
0.11,1.397,A,0,0,1,0,0,0,0
1.218,0.627,K,0,0,0,0,0,1,0
0.474,2.853,G,0,0,0,0,1,0,0
-0.035,1.419,A,0,0,1,0,0,0,0
-0.102,0.34,B,0,1,0,0,0,0,0
0.035,-0.994,B,0,1,0,0,0,0,0
0.956,6.376,K,0,0,0,0,0,1,0
1.59,-12.01,K,0,0,0,0,0,1,0
0.973,0.939,G,0,0,0,0,1,0,0
0.32,1.914,A,0,0,1,0,0,0,0
0.591,1.746,F,0,0,0,1,0,0,0
0.757,5.605,G,0,0,0,0,1,0,0
0.88,5.155,K,0,0,0,0,0,1,0
1.495,9.917,M,0,0,0,0,0,0,1
0.256,1.825,A,0,0,1,0,0,0,0
0.121,0.85,A,0,0,1,0,0,0,0
0.406,2.619,F,0,0,0,1,0,0,0
0.634,3.737,F,0,0,0,1,0,0,0
1.314,7.975,K,0,0,0,0,0,1,0
1.53,7.549,M,0,0,0,0,0,0,1
0.567,5.025,G,0,0,0,0,1,0,0
1.083,1.877,K,0,0,0,0,0,1,0
0.474,3.166,F,0,0,0,1,0,0,0
1.265,-0.131,K,0,0,0,0,0,1,0
1.306,0.762,K,0,0,0,0,0,1,0
0.374,1.189,A,0,0,1,0,0,0,0
0.486,-10.61,F,0,0,0,1,0,0,0
0.529,3.044,F,0,0,0,1,0,0,0
1.701,0.342,K,0,0,0,0,0,1,0
0.65,4.516,G,0,0,0,0,1,0,0
0.352,2.71,F,0,0,0,1,0,0,0
0.558,3.314,F,0,0,0,1,0,0,0
0.231,3.474,A,0,0,1,0,0,0,0
0.4,3.466,F,0,0,0,1,0,0,0
0.518,3.502,F,0,0,0,1,0,0,0
1.34,7.991,M,0,0,0,0,0,0,1
0.345,2.383,F,0,0,0,1,0,0,0
0.897,3.231,G,0,0,0,0,1,0,0
0.425,2.571,F,0,0,0,1,0,0,0
-0.125,-0.636,B,0,1,0,0,0,0,0
0.028,-0.815,B,0,1,0,0,0,0,0
0.309,1.833,A,0,0,1,0,0,0,0
1.15,1.605,K,0,0,0,0,0,1,0
0.373,3.846,A,0,0,1,0,0,0,0
-0.067,0.074,B,0,1,0,0,0,0,0
1.591,-0.024,K,0,0,0,0,0,1,0
0.765,2.744,G,0,0,0,0,1,0,0
1.107,1.934,G,0,0,0,0,1,0,0
0.002,-0.254,B,0,1,0,0,0,0,0
0.57,5.68,F,0,0,0,1,0,0,0
0.774,5.183,G,0,0,0,0,1,0,0
0.466,4.015,F,0,0,0,1,0,0,0
0.448,2.518,A,0,0,1,0,0,0,0
0.592,-0.144,A,0,0,1,0,0,0,0
1.078,0.712,K,0,0,0,0,0,1,0
1.135,0.633,K,0,0,0,0,0,1,0
0.69,3.547,G,0,0,0,0,1,0,0
0.688,3.378,G,0,0,0,0,1,0,0
0.648,5.089,G,0,0,0,0,1,0,0
0.128,1.44,A,0,0,1,0,0,0,0
1.2,0.478,K,0,0,0,0,0,1,0
0.21,1.421,A,0,0,1,0,0,0,0
1.08,6.968,K,0,0,0,0,0,1,0
0.587,4.013,F,0,0,0,1,0,0,0
0.575,4.881,G,0,0,0,0,1,0,0
1.602,-0.488,K,0,0,0,0,0,1,0
0.411,3.287,F,0,0,0,1,0,0,0
-0.038,0.773,A,0,0,1,0,0,0,0
0.656,3.834,G,0,0,0,0,1,0,0
1.08,1.024,K,0,0,0,0,0,1,0
0.773,4.015,G,0,0,0,0,1,0,0
1.11,6.526,K,0,0,0,0,0,1,0
0.22,1.946,A,0,0,1,0,0,0,0
1.224,0.04,K,0,0,0,0,0,1,0
0.611,4.912,G,0,0,0,0,1,0,0
1.22,0.934,K,0,0,0,0,0,1,0
1.1,1.924,K,0,0,0,0,0,1,0
-0.049,0.023,B,0,1,0,0,0,0,0
0.28,-0.894,B,0,1,0,0,0,0,0
0.153,0.017,A,0,0,1,0,0,0,0
0.11,1.085,B,0,1,0,0,0,0,0
0.27,1.489,B,0,1,0,0,0,0,0
1.318,-11.17,K,0,0,0,0,0,1,0
0.71,0.092,F,0,0,0,1,0,0,0
0.86,2.81,G,0,0,0,0,1,0,0
1.325,1.967,K,0,0,0,0,0,1,0
0.127,-11.84,A,0,0,1,0,0,0,0
0.56,3.569,F,0,0,0,1,0,0,0
0.628,4.914,G,0,0,0,0,1,0,0
1.453,-0.856,M,0,0,0,0,0,0,1
0.473,3.309,A,0,0,1,0,0,0,0
0.532,3.197,s,0,0,0,0,0,0,0
1.101,0.731,K,0,0,0,0,0,1,0
0.669,4.848,F,0,0,0,1,0,0,0
0.4,2.275,F,0,0,0,1,0,0,0
0.419,3.106,F,0,0,0,1,0,0,0
0.05,1.21,B,0,1,0,0,0,0,0
0.787,5.761,G,0,0,0,0,1,0,0
0.432,3.217,F,0,0,0,1,0,0,0
0.423,2.644,F,0,0,0,1,0,0,0
0.377,2.076,F,0,0,0,1,0,0,0
1.074,-0.594,K,0,0,0,0,0,1,0
0.212,0.891,A,0,0,1,0,0,0,0
0.638,1.746,A,0,0,1,0,0,0,0
0.689,1.838,F,0,0,0,1,0,0,0
0.528,3.197,F,0,0,0,1,0,0,0
0.403,3.479,F,0,0,0,1,0,0,0
0.219,1.49,A,0,0,1,0,0,0,0
0.463,0.6,A,0,0,1,0,0,0,0
0.13,2.602,A,0,0,1,0,0,0,0
0.53,3.121,F,0,0,0,1,0,0,0
0.497,2.443,F,0,0,0,1,0,0,0
0.493,4.621,F,0,0,0,1,0,0,0
0.213,1.067,B,0,1,0,0,0,0,0
0.279,1.598,A,0,0,1,0,0,0,0
-0.07,-1.725,B,0,1,0,0,0,0,0
0.969,-0.596,G,0,0,0,0,1,0,0
1.045,-0.815,G,0,0,0,0,1,0,0
1.541,1.609,K,0,0,0,0,0,1,0
-0.082,-0.293,B,0,1,0,0,0,0,0
0.747,5.542,G,0,0,0,0,1,0,0
1.008,0.894,G,0,0,0,0,1,0,0
0.096,0.266,A,0,0,1,0,0,0,0
0.6,1.792,G,0,0,0,0,1,0,0
1.004,1.546,G,0,0,0,0,1,0,0
0.49,3.11,F,0,0,0,1,0,0,0
0.061,0.6,A,0,0,1,0,0,0,0
0.394,2.884,A,0,0,1,0,0,0,0
0.547,2.793,F,0,0,0,1,0,0,0
1.615,-1.134,K,0,0,0,0,0,1,0
-0.027,1.184,B,0,1,0,0,0,0,0
0.539,3.888,G,0,0,0,0,1,0,0
1.082,2.94,G,0,0,0,0,1,0,0
1.359,-9.78,M,0,0,0,0,0,0,1
0.45,1.768,F,0,0,0,1,0,0,0
0.479,4.079,F,0,0,0,1,0,0,0
0.511,4.144,G,0,0,0,0,1,0,0
1.032,1.387,K,0,0,0,0,0,1,0
1.159,1.372,K,0,0,0,0,0,1,0
0.891,4.027,G,0,0,0,0,1,0,0
0.098,1.317,A,0,0,1,0,0,0,0
0.729,2.662,G,0,0,0,0,1,0,0
0.809,3.212,G,0,0,0,0,1,0,0
0.927,0.127,G,0,0,0,0,1,0,0
0.394,-13.27,B,0,1,0,0,0,0,0
0.682,3.491,G,0,0,0,0,1,0,0
0.622,4.598,G,0,0,0,0,1,0,0
0.07,1.494,A,0,0,1,0,0,0,0
1.228,0.087,M,0,0,0,0,0,0,1
0.05,0.292,B,0,1,0,0,0,0,0
1.061,1.297,G,0,0,0,0,1,0,0
1.87,-2.546,M,0,0,0,0,0,0,1
0.482,2.295,F,0,0,0,1,0,0,0
0.057,0.563,A,0,0,1,0,0,0,0
0.582,4.83,G,0,0,0,0,1,0,0
0.822,5.893,K,0,0,0,0,0,1,0
1.45,-0.072,M,0,0,0,0,0,0,1
-0.07,0.982,A,0,0,1,0,0,0,0
0.189,1.544,A,0,0,1,0,0,0,0
0.033,1.605,B,0,1,0,0,0,0,0
1.066,-0.431,G,0,0,0,0,1,0,0
1.07,6.676,K,0,0,0,0,0,1,0
0.587,3.685,G,0,0,0,0,1,0,0
1.211,1.663,G,0,0,0,0,1,0,0
0.682,5.021,G,0,0,0,0,1,0,0
0.467,3.337,F,0,0,0,1,0,0,0
0.921,1.848,G,0,0,0,0,1,0,0
-0.046,0.873,B,0,1,0,0,0,0,0
0.473,3.328,F,0,0,0,1,0,0,0
1.138,-10.94,K,0,0,0,0,0,1,0
0.817,5.487,G,0,0,0,0,1,0,0
1.273,1.102,G,0,0,0,0,1,0,0
0.37,-0.203,A,0,0,1,0,0,0,0
1.004,1.966,K,0,0,0,0,0,1,0
-0.026,1.304,B,0,1,0,0,0,0,0
1.31,1.591,K,0,0,0,0,0,1,0
1.713,0.621,K,0,0,0,0,0,1,0
1.015,3.404,G,0,0,0,0,1,0,0
0.388,2.341,A,0,0,1,0,0,0,0
0.177,0.403,A,0,0,1,0,0,0,0
0.649,1.461,G,0,0,0,0,1,0,0
0.501,-9.8,F,0,0,0,1,0,0,0
1.194,2.469,K,0,0,0,0,0,1,0
0.658,4.715,G,0,0,0,0,1,0,0
0.514,3.646,G,0,0,0,0,1,0,0
0.628,2.564,F,0,0,0,1,0,0,0
0.6,2.584,F,0,0,0,1,0,0,0
1.03,1.013,K,0,0,0,0,0,1,0
0.915,0.919,G,0,0,0,0,1,0,0
-0.006,0.787,B,0,1,0,0,0,0,0
0.063,0.896,A,0,0,1,0,0,0,0
1.22,7.639,K,0,0,0,0,0,1,0
0.913,0.667,G,0,0,0,0,1,0,0
0.542,3.407,F,0,0,0,1,0,0,0
0.665,4.585,G,0,0,0,0,1,0,0
0.538,4.27,F,0,0,0,1,0,0,0
0.984,2.04,K,0,0,0,0,0,1,0
0.275,2.205,F,0,0,0,1,0,0,0
0.602,4.331,G,0,0,0,0,1,0,0
0.779,0.353,G,0,0,0,0,1,0,0
1.69,-11.71,C,0,0,0,0,0,0,0
1.368,-0.891,K,0,0,0,0,0,1,0
0.526,1.096,F,0,0,0,1,0,0,0
0.684,5.13,G,0,0,0,0,1,0,0
0.119,0.775,A,0,0,1,0,0,0,0
0.959,1.849,K,0,0,0,0,0,1,0
1.192,0.678,K,0,0,0,0,0,1,0
1.322,0.578,K,0,0,0,0,0,1,0
0.085,0.837,A,0,0,1,0,0,0,0
0.23,1.723,A,0,0,1,0,0,0,0
0.409,3.547,F,0,0,0,1,0,0,0
0.41,3.9,F,0,0,0,1,0,0,0
0.321,2.263,F,0,0,0,1,0,0,0
0.019,1.31,A,0,0,1,0,0,0,0
1.435,0.457,K,0,0,0,0,0,1,0
0.504,3.354,F,0,0,0,1,0,0,0
0.38,3.527,F,0,0,0,1,0,0,0
0.435,3.269,F,0,0,0,1,0,0,0
1.54,0.354,K,0,0,0,0,0,1,0
1.109,0.83,K,0,0,0,0,0,1,0
1.678,-11.06,M,0,0,0,0,0,0,1
0.231,1.481,A,0,0,1,0,0,0,0
1.526,0.033,M,0,0,0,0,0,0,1
1.223,7.498,K,0,0,0,0,0,1,0
1.22,0.039,K,0,0,0,0,0,1,0
0.51,3.474,F,0,0,0,1,0,0,0
0.064,-0.617,A,0,0,1,0,0,0,0
0.653,4.158,G,0,0,0,0,1,0,0
0.471,0.202,F,0,0,0,1,0,0,0
0.782,6.239,K,0,0,0,0,0,1,0
0.248,-0.411,B,0,1,0,0,0,0,0
1.095,1.477,K,0,0,0,0,0,1,0
0.45,3.931,F,0,0,0,1,0,0,0
0.404,1.89,A,0,0,1,0,0,0,0
0.199,-10.46,A,0,0,1,0,0,0,0
1.674,-0.661,M,0,0,0,0,0,0,1
1.503,0.581,K,0,0,0,0,0,1,0
0.752,5.798,G,0,0,0,0,1,0,0
0.356,1.832,A,0,0,1,0,0,0,0
2.3,8.659,M,0,0,0,0,0,0,1
0.789,5.284,K,0,0,0,0,0,1,0
